@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Entire home/apt,Sant Martí,5,4.0,4,2.0,168.0,41.410,2.183
Entire home/apt,Ciutat Vella,205,5.0,3,1.0,157.0,41.384,2.179
Entire home/apt,Sant Martí,28,4.5,5,3.0,169.0,41.413,2.214
Entire home/apt,Ciutat Vella,239,5.0,2,1.0,181.0,41.385,2.181
Entire home/apt,Eixample,63,4.5,2,1.0,157.0,41.391,2.156
Entire home/apt,Ciutat Vella,21,4.0,4,1.0,168.0,41.379,2.167
Entire home/apt,Ciutat Vella,28,5.0,3,0.0,163.0,41.386,2.177
Entire home/apt,Gràcia,16,4.0,5,2.0,174.0,41.403,2.151
Entire home/apt,Eixample,7,4.5,4,2.0,156.0,41.395,2.157
Entire home/apt,Eixample,151,4.5,4,1.0,163.0,41.383,2.161
Entire home/apt,Gràcia,20,4.5,5,2.0,129.0,41.408,2.148
Entire home/apt,Ciutat Vella,35,4.0,4,2.0,144.0,41.383,2.182
Entire home/apt,Ciutat Vella,25,4.5,3,1.0,134.0,41.383,2.180
Entire home/apt,Ciutat Vella,30,5.0,4,2.0,144.0,41.379,2.175
Entire home/apt,Ciutat Vella,10,4.5,6,3.0,144.0,41.381,2.174
Entire home/apt,Ciutat Vella,39,4.0,4,2.0,144.0,41.384,2.185
Entire home/apt,Ciutat Vella,33,3.5,6,2.0,132.0,41.385,2.183
Entire home/apt,Sants-Montjuïc,5,5.0,3,2.0,127.0,41.375,2.122
Entire home/apt,Sants-Montjuïc,9,5.0,2,1.0,129.0,41.373,2.148
Entire home/apt,Eixample,42,4.5,5,3.0,134.0,41.382,2.150
Entire home/apt,Eixample,15,4.5,3,1.0,133.0,41.395,2.158
Entire home/apt,Ciutat Vella,3,3.0,4,0.0,133.0,41.381,2.165
Entire home/apt,Ciutat Vella,30,5.0,2,1.0,134.0,41.384,2.182
Entire home/apt,Sarrià-Sant Gervasi,4,4.5,4,2.0,144.0,41.393,2.125
Entire home/apt,Ciutat Vella,18,4.5,4,1.0,143.0,41.381,2.177
Entire home/apt,Gràcia,77,5.0,2,1.0,112.0,41.399,2.158
Entire home/apt,Ciutat Vella,22,4.5,4,2.0,114.0,41.378,2.191
Entire home/apt,Ciutat Vella,12,3.5,4,2.0,119.0,41.378,2.164
Entire home/apt,Gràcia,38,4.5,4,2.0,108.0,41.413,2.153
Entire home/apt,Gràcia,21,5.0,3,1.0,112.0,41.403,2.161
Entire home/apt,Ciutat Vella,26,4.5,3,0.0,121.0,41.383,2.179
Entire home/apt,Sant Martí,125,4.5,6,2.0,116.0,41.411,2.217
Entire home/apt,Ciutat Vella,30,4.5,4,2.0,114.0,41.378,2.190
Entire home/apt,Sant Martí,69,5.0,4,2.0,121.0,41.399,2.206
Entire home/apt,Sants-Montjuïc,11,4.0,4,0.0,98.0,41.355,2.145
Entire home/apt,Sants-Montjuïc,15,4.5,2,1.0,84.0,41.373,2.125
Entire home/apt,Eixample,13,3.5,7,3.0,102.0,41.377,2.155
Entire home/apt,Ciutat Vella,19,5.0,2,0.0,91.0,41.384,2.183
Entire home/apt,Ciutat Vella,11,4.0,2,1.0,92.0,41.376,2.173
Entire home/apt,Sant Martí,4,4.0,4,1.0,83.0,41.414,2.182
Entire home/apt,Sant Martí,7,5.0,6,3.0,97.0,41.404,2.204
Entire home/apt,Sant Martí,65,4.5,4,3.0,84.0,41.411,2.221
Entire home/apt,Ciutat Vella,26,4.5,3,2.0,67.0,41.381,2.175
Entire home/apt,Sant Martí,6,3.5,5,3.0,79.0,41.422,2.206
Entire home/apt,Eixample,3,2.5,2,1.0,70.0,41.382,2.159
Entire home/apt,Eixample,250,5.0,2,1.0,69.0,41.397,2.175
Entire home/apt,Horta-Guinardó,56,4.5,2,0.0,68.0,41.426,2.136
Entire home/apt,Horta-Guinardó,5,3.5,4,2.0,60.0,41.431,2.141
Entire home/apt,Gràcia,3,5.0,2,1.0,50.0,41.398,2.162
Entire home/apt,Eixample,10,3.0,2,1.0,60.0,41.383,2.154
Entire home/apt,Eixample,50,4.5,4,1.0,59.0,41.381,2.150
Entire home/apt,Sants-Montjuïc,5,5.0,6,3.0,48.0,41.379,2.138
Entire home/apt,Sants-Montjuïc,5,4.5,4,2.0,53.0,41.373,2.167
Entire home/apt,Eixample,32,4.5,6,3.0,358.0,41.396,2.169
Entire home/apt,Ciutat Vella,16,4.0,8,4.0,481.0,41.377,2.176
Entire home/apt,Ciutat Vella,17,4.0,12,3.0,481.0,41.379,2.178
Entire home/apt,Eixample,38,4.5,16,6.0,405.0,41.376,2.152
Entire home/apt,Ciutat Vella,9,4.5,9,3.0,348.0,41.378,2.168
Entire home/apt,Eixample,9,5.0,10,5.0,324.0,41.377,2.164
Entire home/apt,Sants-Montjuïc,4,4.0,5,3.0,361.0,41.373,2.170
Entire home/apt,Sants-Montjuïc,10,4.5,6,3.0,384.0,41.373,2.171
Entire home/apt,Eixample,18,5.0,12,4.0,480.0,41.376,2.166
Entire home/apt,Sant Martí,13,4.5,9,5.0,384.0,41.391,2.191
Entire home/apt,Ciutat Vella,4,2.0,8,3.0,420.0,41.378,2.176
Entire home/apt,Ciutat Vella,4,1.5,7,4.0,420.0,41.378,2.176
Entire home/apt,Ciutat Vella,5,4.5,9,3.0,312.0,41.379,2.168
Entire home/apt,Eixample,3,5.0,6,2.0,454.0,41.385,2.156
Entire home/apt,Eixample,14,4.5,12,6.0,337.0,41.390,2.157
Entire home/apt,Eixample,40,4.5,10,4.0,312.0,41.385,2.162
Entire home/apt,Eixample,6,5.0,6,3.0,312.0,41.391,2.165
Entire home/apt,Eixample,9,4.5,9,3.0,379.0,41.387,2.166
Entire home/apt,Eixample,5,4.5,8,3.0,406.0,41.387,2.167
Entire home/apt,Eixample,25,5.0,6,3.0,323.0,41.395,2.167
Entire home/apt,Eixample,9,4.5,7,3.0,336.0,41.396,2.171
Entire home/apt,Ciutat Vella,56,4.5,8,2.0,359.0,41.385,2.167
Entire home/apt,Eixample,4,4.5,9,4.0,343.0,41.396,2.185
Entire home/apt,Eixample,6,5.0,4,2.0,361.0,41.386,2.166
Entire home/apt,Eixample,11,5.0,8,4.0,420.0,41.387,2.151
Entire home/apt,Eixample,21,5.0,9,3.0,499.0,41.389,2.168
Entire home/apt,Eixample,10,4.5,8,4.0,373.0,41.397,2.171
Entire home/apt,Eixample,25,4.5,10,5.0,420.0,41.387,2.170
Entire home/apt,Eixample,72,5.0,8,3.0,359.0,41.391,2.160
Entire home/apt,Eixample,60,4.5,13,6.0,337.0,41.393,2.165
Entire home/apt,Eixample,6,4.5,4,2.0,331.0,41.386,2.166
Entire home/apt,Eixample,6,4.5,8,3.0,384.0,41.386,2.153
Entire home/apt,Eixample,14,4.5,10,3.0,312.0,41.385,2.168
Entire home/apt,Eixample,8,4.5,8,4.0,420.0,41.389,2.170
Entire home/apt,Eixample,3,5.0,6,2.0,367.0,41.388,2.167
Entire home/apt,Eixample,6,4.5,10,4.0,310.0,41.394,2.178
Entire home/apt,Eixample,33,5.0,2,1.0,331.0,41.392,2.162
Entire home/apt,Eixample,26,4.5,8,3.0,311.0,41.396,2.168
Entire home/apt,Eixample,43,4.5,16,6.0,337.0,41.397,2.177
Entire home/apt,Eixample,14,4.5,13,4.0,420.0,41.385,2.167
Entire home/apt,Eixample,68,5.0,6,3.0,316.0,41.391,2.170
Entire home/apt,Eixample,15,5.0,10,3.0,432.0,41.375,2.166
Entire home/apt,Eixample,8,5.0,6,3.0,457.0,41.389,2.164
Entire home/apt,Eixample,5,4.5,8,3.0,384.0,41.389,2.175
Entire home/apt,Eixample,15,4.5,10,5.0,499.0,41.387,2.169
Entire home/apt,Ciutat Vella,22,5.0,6,3.0,447.0,41.383,2.177
Entire home/apt,Ciutat Vella,3,4.5,7,3.0,337.0,41.379,2.169
Entire home/apt,Ciutat Vella,46,4.5,16,6.0,361.0,41.388,2.176
Entire home/apt,Ciutat Vella,17,4.5,6,2.0,481.0,41.381,2.172
Entire home/apt,Eixample,13,5.0,4,2.0,348.0,41.390,2.172
Entire home/apt,Eixample,7,4.5,8,5.0,334.0,41.400,2.169
Entire home/apt,Eixample,41,4.5,12,4.0,361.0,41.386,2.167
Entire home/apt,Eixample,7,4.5,8,3.0,337.0,41.386,2.166
Entire home/apt,Gràcia,33,4.5,10,4.0,139.0,41.408,2.147
Entire home/apt,Les Corts,27,4.0,6,2.0,108.0,41.377,2.116
Entire home/apt,Les Corts,78,4.5,8,4.0,121.0,41.384,2.136
Entire home/apt,Sants-Montjuïc,105,4.5,4,1.0,117.0,41.374,2.161
Entire home/apt,Eixample,10,4.0,3,2.0,106.0,41.396,2.163
Entire home/apt,Eixample,36,4.0,4,2.0,84.0,41.407,2.173
Entire home/apt,Sants-Montjuïc,36,4.0,3,1.0,103.0,41.373,2.132
Entire home/apt,Ciutat Vella,34,4.0,6,2.0,95.0,41.388,2.179
Entire home/apt,Sant Andreu,59,4.5,4,2.0,84.0,41.426,2.178
