@RELATION AirBnB

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Sant Martí','Ciutat Vella','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction {1,2,3,4,5}
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms INTEGER
@ATTRIBUTE price INTEGER
@ATTRIBUTE latitude INTEGER
@ATTRIBUTE longitude INTEGER

@DATA
'Entire home/apt','Eixample',15,4,3,1,133,41,2
'Entire home/apt','Ciutat Vella',3,3,4,0,133,41,2
'Entire home/apt','Ciutat Vella',30,5,2,1,134,41,2
'Entire home/apt','Sarrià-Sant Gervasi',4,4,4,2,144,41,2
'Entire home/apt','Ciutat Vella',18,4,4,1,143,41,2
'Entire home/apt','Gràcia',77,5,2,1,112,41,2
'Entire home/apt','Ciutat Vella',22,4,4,2,114,41,2
'Entire home/apt','Ciutat Vella',12,3,4,2,119,41,2
'Entire home/apt','Gràcia',38,4,4,2,108,41,2
'Entire home/apt','Gràcia',21,5,3,1,112,41,2
'Entire home/apt','Ciutat Vella',26,4,3,0,121,41,2
'Entire home/apt','Sant Martí',125,4,6,2,116,41,2
'Entire home/apt','Ciutat Vella',30,4,4,2,114,41,2
'Entire home/apt','Sant Martí',69,5,4,2,121,41,2
'Entire home/apt','Sants-Montjuïc',11,4,4,0,98,41,2
'Entire home/apt','Sants-Montjuïc',15,4,2,1,84,41,2
'Entire home/apt','Eixample',13,3,7,3,102,41,2
'Entire home/apt','Ciutat Vella',19,5,2,0,91,41,2
'Entire home/apt','Ciutat Vella',11,4,2,1,92,41,2
'Entire home/apt','Sant Martí',4,4,4,1,83,41,2
'Entire home/apt','Sant Martí',7,5,6,3,97,41,2
'Entire home/apt','Sant Martí',65,4,4,3,84,41,2
'Entire home/apt','Ciutat Vella',26,4,3,2,67,41,2
'Entire home/apt','Sant Martí',6,3,5,3,79,41,2
'Entire home/apt','Eixample',3,2,2,1,70,41,2
'Entire home/apt','Eixample',250,5,2,1,69,41,2
'Entire home/apt','Horta-Guinardó',56,4,2,0,68,41,2
'Entire home/apt','Horta-Guinardó',5,3,4,2,60,41,2
'Entire home/apt','Gràcia',3,5,2,1,50,41,2
'Entire home/apt','Eixample',10,3,2,1,60,41,2
'Entire home/apt','Eixample',50,4,4,1,59,41,2
'Entire home/apt','Sants-Montjuïc',5,5,6,3,48,41,2
'Entire home/apt','Sants-Montjuïc',5,4,4,2,53,41,2
'Entire home/apt','Eixample',32,4,6,3,358,41,2
'Entire home/apt','Ciutat Vella',16,4,8,4,481,41,2
'Entire home/apt','Ciutat Vella',17,4,12,3,481,41,2
'Entire home/apt','Eixample',38,4,16,6,405,41,2
'Entire home/apt','Ciutat Vella',9,4,9,3,348,41,2
'Entire home/apt','Eixample',9,5,10,5,324,41,2
'Entire home/apt','Sants-Montjuïc',4,4,5,3,361,41,2
'Entire home/apt','Sants-Montjuïc',10,4,6,3,384,41,2
'Entire home/apt','Eixample',18,5,12,4,480,41,2
'Entire home/apt','Sant Martí',13,4,9,5,384,41,2
'Entire home/apt','Ciutat Vella',4,2,8,3,420,41,2
'Entire home/apt','Ciutat Vella',4,1,7,4,420,41,2
'Entire home/apt','Ciutat Vella',5,4,9,3,312,41,2
'Entire home/apt','Eixample',3,5,6,2,454,41,2
'Entire home/apt','Eixample',14,4,12,6,337,41,2
'Entire home/apt','Eixample',40,4,10,4,312,41,2
'Entire home/apt','Eixample',6,5,6,3,312,41,2
'Entire home/apt','Eixample',9,4,9,3,379,41,2
'Entire home/apt','Eixample',5,4,8,3,406,41,2
'Entire home/apt','Eixample',25,5,6,3,323,41,2
'Entire home/apt','Eixample',9,4,7,3,336,41,2
'Entire home/apt','Ciutat Vella',56,4,8,2,359,41,2
'Entire home/apt','Eixample',4,4,9,4,343,41,2
'Entire home/apt','Eixample',6,5,4,2,361,41,2
'Entire home/apt','Eixample',11,5,8,4,420,41,2
'Entire home/apt','Eixample',21,5,9,3,499,41,2
'Entire home/apt','Eixample',10,4,8,4,373,41,2
'Entire home/apt','Eixample',25,4,10,5,420,41,2
'Entire home/apt','Eixample',72,5,8,3,359,41,2
'Entire home/apt','Eixample',60,4,13,6,337,41,2
'Entire home/apt','Eixample',6,4,4,2,331,41,2
'Entire home/apt','Eixample',6,4,8,3,384,41,2
'Entire home/apt','Eixample',14,4,10,3,312,41,2
'Entire home/apt','Eixample',8,4,8,4,420,41,2
'Entire home/apt','Eixample',3,5,6,2,367,41,2
'Entire home/apt','Eixample',6,4,10,4,310,41,2
'Entire home/apt','Eixample',33,5,2,1,331,41,2
'Entire home/apt','Eixample',26,4,8,3,311,41,2
'Entire home/apt','Eixample',43,4,16,6,337,41,2
'Entire home/apt','Eixample',14,4,13,4,420,41,2
'Entire home/apt','Eixample',68,5,6,3,316,41,2
'Entire home/apt','Eixample',15,5,10,3,432,41,2
'Entire home/apt','Eixample',8,5,6,3,457,41,2
'Entire home/apt','Eixample',5,4,8,3,384,41,2
'Entire home/apt','Eixample',15,4,10,5,499,41,2
'Entire home/apt','Ciutat Vella',22,5,6,3,447,41,2
'Entire home/apt','Ciutat Vella',3,4,7,3,337,41,2
'Entire home/apt','Ciutat Vella',46,4,16,6,361,41,2
'Entire home/apt','Ciutat Vella',17,4,6,2,481,41,2
'Entire home/apt','Eixample',13,5,4,2,348,41,2
'Entire home/apt','Eixample',7,4,8,5,334,41,2
'Entire home/apt','Eixample',41,4,12,4,361,41,2
'Entire home/apt','Eixample',7,4,8,3,337,41,2
'Entire home/apt','Gràcia',33,4,10,4,139,41,2
'Entire home/apt','Les Corts',27,4,6,2,108,41,2
'Entire home/apt','Les Corts',78,4,8,4,121,41,2
'Entire home/apt','Sants-Montjuïc',105,4,4,1,117,41,2
'Entire home/apt','Eixample',10,4,3,2,106,41,2
'Entire home/apt','Eixample',36,4,4,2,84,41,2
'Entire home/apt','Sants-Montjuïc',36,4,3,1,103,41,2
'Entire home/apt','Ciutat Vella',34,4,6,2,95,41,2
'Entire home/apt','Sant Andreu',59,4,4,2,84,41,2
'Entire home/apt','Eixample',19,4,4,2,84,41,2
'Entire home/apt','Sarrià-Sant Gervasi',120,4,12,3,91,41,2
'Entire home/apt','Gràcia',14,5,3,1,91,41,2
'Entire home/apt','Sarrià-Sant Gervasi',11,5,4,1,95,41,2
'Entire home/apt','Eixample',28,4,4,2,84,41,2
'Entire home/apt','Sant Martí',66,3,3,1,96,41,2
'Entire home/apt','Sant Martí',42,4,4,2,84,41,2
'Entire home/apt','Eixample',15,4,4,2,97,41,2
'Entire home/apt','Sants-Montjuïc',15,4,4,2,95,41,2
'Entire home/apt','Ciutat Vella',39,3,10,3,95,41,2
'Entire home/apt','Eixample',47,4,6,2,88,41,2
'Entire home/apt','Sarrià-Sant Gervasi',147,4,10,3,98,41,2
'Entire home/apt','Eixample',66,5,3,2,72,41,2
'Entire home/apt','Ciutat Vella',38,3,6,1,80,41,2
'Entire home/apt','Ciutat Vella',147,4,3,1,55,41,2
'Entire home/apt','Ciutat Vella',131,4,4,1,25,41,2
'Entire home/apt','Eixample',17,5,8,4,904,41,2
'Entire home/apt','Eixample',7,3,10,4,553,41,2
'Entire home/apt','Sant Martí',12,4,10,4,634,41,2
'Entire home/apt','Eixample',18,5,8,5,543,41,2
'Entire home/apt','Sant Martí',14,5,10,4,634,41,2
'Entire home/apt','Eixample',40,4,16,6,550,41,2
'Entire home/apt','Ciutat Vella',4,1,8,4,603,41,2
'Entire home/apt','Ciutat Vella',3,5,4,1,603,41,2
'Entire home/apt','Sants-Montjuïc',41,4,12,6,362,41,2
'Entire home/apt','Ciutat Vella',5,3,8,3,422,41,2
'Entire home/apt','Eixample',5,3,10,4,515,41,2
'Entire home/apt','Eixample',12,5,7,4,391,41,2
'Entire home/apt','Sant Martí',3,4,6,3,338,41,2
'Entire home/apt','Eixample',16,4,5,3,362,41,2
'Entire home/apt','Ciutat Vella',37,5,7,3,217,41,2
'Entire home/apt','Ciutat Vella',3,3,8,3,409,41,2
'Entire home/apt','Eixample',3,4,16,6,420,41,2
'Entire home/apt','Eixample',24,5,10,5,489,41,2
'Entire home/apt','Ciutat Vella',23,5,4,2,312,41,2
'Entire home/apt','Eixample',3,5,6,3,489,41,2
'Entire home/apt','Eixample',33,4,3,1,409,41,2
'Entire home/apt','Sants-Montjuïc',14,4,9,5,433,41,2
'Entire home/apt','Eixample',4,5,6,2,361,41,2
'Entire home/apt','Eixample',4,4,5,3,390,41,2
'Entire home/apt','Eixample',96,5,10,5,420,41,2
'Entire home/apt','Eixample',51,5,8,4,475,41,2
'Entire home/apt','Sant Martí',31,4,6,2,361,41,2
'Entire home/apt','Sant Martí',20,4,8,3,324,41,2
'Entire home/apt','Sant Martí',9,4,6,2,361,41,2
'Entire home/apt','Eixample',96,4,6,4,361,41,2
'Entire home/apt','Ciutat Vella',6,4,9,4,361,41,2
'Entire home/apt','Sant Martí',20,4,10,6,451,41,2
