@relation relation name
@attribute room_type string
@attribute neighborhood string
@attribute reviews integer
@attribute overall_satisfaction real
@attribute accommodates integer
@attribute bedrooms real
@attribute price real
@attribute latitude real
@attribute longitude real
@data
'Private room','Nou Barris',31,4.5,3,1.0,35.0,41.429237,2.182348
'Private room','Sant Martí',6,4.5,2,1.0,28.0,41.412487,2.1911400000000003
'Private room','Eixample',9,4.5,1,1.0,24.0,41.394828,2.17026
'Private room','Horta-Guinardó',18,5.0,1,1.0,21.0,41.415584,2.1775900000000004
'Private room','Sant Andreu',15,4.0,2,1.0,31.0,41.418357,2.18892
'Private room','Sant Martí',9,5.0,1,1.0,30.0,41.40935800000001,2.193055
'Private room','Sant Martí',4,4.5,1,1.0,38.0,41.40548,2.184791
'Private room','Eixample',69,5.0,1,1.0,30.0,41.394119,2.1800490000000003
'Private room','Sant Martí',28,4.5,1,1.0,30.0,41.410821,2.1864
'Private room','Sant Martí',84,4.0,2,1.0,18.0,41.414219,2.191916
'Private room','Sant Martí',26,4.5,2,1.0,34.0,41.411691,2.199183
'Private room','Sant Martí',8,5.0,1,1.0,30.0,41.414099,2.214393
'Private room','Sant Martí',17,4.5,2,1.0,27.0,41.413801,2.217625
'Private room','Sant Martí',38,4.5,2,1.0,30.0,41.417905,2.208197
