room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Gràcia,51,5.0,1,1.0,39.0,41.406873,2.167959
Private room,Eixample,36,4.5,2,1.0,30.0,41.396764000000005,2.185654
Private room,Sant Martí,17,5.0,2,1.0,36.0,41.413078999999996,2.196756
Private room,Gràcia,81,4.5,2,1.0,24.0,41.401919,2.1684810000000003
Private room,Eixample,75,4.0,2,1.0,18.0,41.396434,2.178232
Private room,Sant Martí,38,4.5,2,1.0,36.0,41.411457,2.177669
Private room,Eixample,12,4.5,1,0.0,24.0,41.400864,2.1675240000000002
Private room,Sant Martí,11,3.5,2,1.0,39.0,41.408514000000004,2.186359
Private room,Eixample,25,4.5,1,1.0,36.0,41.399465,2.17782
Private room,Eixample,3,5.0,2,1.0,38.0,41.401089,2.175402
Private room,Eixample,25,4.5,1,1.0,30.0,41.400496000000004,2.1745919999999996
Private room,Sant Martí,24,4.5,2,1.0,27.0,41.405283000000004,2.1863509999999997
Private room,Eixample,34,4.5,1,1.0,28.0,41.399889,2.176376
Private room,Eixample,15,4.5,2,1.0,32.0,41.403655,2.174625
Private room,Eixample,13,4.5,2,1.0,36.0,41.404762,2.17516
Private room,Horta-Guinardó,6,4.5,2,1.0,28.0,41.411384000000005,2.165512
Private room,Eixample,56,4.5,2,1.0,20.0,41.399234,2.17798
Private room,Eixample,5,4.0,2,1.0,36.0,41.397953,2.170716
Private room,Sant Martí,70,4.5,2,1.0,41.0,41.411749,2.185423
Private room,Horta-Guinardó,161,5.0,1,1.0,29.0,41.408590999999994,2.1703919999999997
Private room,Horta-Guinardó,58,4.5,1,1.0,30.0,41.409346,2.169433
Private room,Eixample,3,3.0,1,1.0,30.0,41.401925,2.178782
Private room,Horta-Guinardó,47,4.0,2,1.0,24.0,41.418504999999996,2.1795430000000002
Private room,Eixample,30,4.5,2,1.0,30.0,41.40453,2.173737
Private room,Sant Martí,5,5.0,1,1.0,25.0,41.408640000000005,2.181285
Private room,Eixample,28,4.5,1,1.0,30.0,41.401363,2.176734
Private room,Eixample,87,5.0,1,1.0,38.0,41.409163,2.172463
Private room,Eixample,37,4.5,2,1.0,27.0,41.399316999999996,2.1804509999999997
Private room,Horta-Guinardó,51,4.0,2,1.0,30.0,41.416942999999996,2.1705490000000003
Private room,Sant Martí,58,4.0,2,1.0,25.0,41.410585,2.18364
Private room,Sant Martí,59,4.5,1,1.0,24.0,41.407143,2.188991
Private room,Sant Martí,3,5.0,1,1.0,30.0,41.411813,2.179243
Private room,Eixample,48,5.0,1,1.0,24.0,41.404074,2.174371
Private room,Sant Martí,51,4.5,1,1.0,36.0,41.411697,2.179025
Private room,Eixample,7,3.5,2,0.0,36.0,41.402497,2.1777900000000003
Private room,Horta-Guinardó,8,4.5,1,1.0,14.0,41.411264,2.17048
